state,year,visitors_thousands
Johor,2018,13487.238
Johor,2019,14274.0
Johor,2020,7243.0
Johor,2021,3657.55
Johor,2022,12376.202
Johor,2023,15804.89
Johor,2024,17138.338
Johor,2025,18196.973
Kedah,2018,14480.018
Kedah,2019,14831.0
Kedah,2020,10108.0
Kedah,2021,4023.002
Kedah,2022,11186.197
Kedah,2023,13444.055
Kedah,2024,14651.488
Kedah,2025,15607.884
Kelantan,2018,9846.123
Kelantan,2019,10986.0
Kelantan,2020,6058.0
Kelantan,2021,1920.93
Kelantan,2022,6627.155
Kelantan,2023,7549.37
Kelantan,2024,10514.411
Kelantan,2025,12062.016
Melaka,2018,13122.604
Melaka,2019,13979.0
Melaka,2020,7275.0
Melaka,2021,3878.14
Melaka,2022,11757.166
Melaka,2023,15558.661
Melaka,2024,19128.405
Melaka,2025,20832.202
Negeri Sembilan,2018,12802.119
Negeri Sembilan,2019,13303.0
Negeri Sembilan,2020,7918.0
Negeri Sembilan,2021,5485.17
Negeri Sembilan,2022,11490.144
Negeri Sembilan,2023,14959.47
Negeri Sembilan,2024,17784.532
Negeri Sembilan,2025,19356.545
Pahang,2018,18111.357
Pahang,2019,18498.0
Pahang,2020,9905.0
Pahang,2021,3404.772
Pahang,2022,13188.959
Pahang,2023,16455.567
Pahang,2024,20173.876
Pahang,2025,23161.166
Pulau Pinang,2018,14450.491
Pulau Pinang,2019,15411.0
Pulau Pinang,2020,8929.0
Pulau Pinang,2021,5060.864
Pulau Pinang,2022,10002.735
Pulau Pinang,2023,13127.587
Pulau Pinang,2024,16604.803
Pulau Pinang,2025,17717.979
Perak,2018,17553.161
Perak,2019,21070.0
Perak,2020,13173.0
Perak,2021,4489.273
Perak,2022,14566.727
Perak,2023,17107.518
Perak,2024,21776.217
Perak,2025,23642.055
Perlis,2018,2155.508
Perlis,2019,2088.0
Perlis,2020,1193.0
Perlis,2021,406.796
Perlis,2022,1669.175
Perlis,2023,1950.771
Perlis,2024,3225.428
Perlis,2025,3755.682
Selangor,2018,30179.047
Selangor,2019,33589.0
Selangor,2020,19715.0
Selangor,2021,10211.58
Selangor,2022,21989.558
Selangor,2023,27579.478
Selangor,2024,34460.828
Selangor,2025,36376.442
Terengganu,2018,13742.366
Terengganu,2019,14158.0
Terengganu,2020,7420.0
Terengganu,2021,3719.052
Terengganu,2022,10233.282
Terengganu,2023,11760.516
Terengganu,2024,14460.728
Terengganu,2025,15462.278
Sabah,2018,20359.881
Sabah,2019,22035.0
Sabah,2020,10337.0
Sabah,2021,3815.016
Sabah,2022,12589.005
Sabah,2023,16080.074
Sabah,2024,20591.813
Sabah,2025,22361.168
Sarawak,2018,19380.23
Sarawak,2019,19793.0
Sarawak,2020,9393.0
Sarawak,2021,6510.9
Sarawak,2022,15464.621
Sarawak,2023,17901.19
Sarawak,2024,19625.552
Sarawak,2025,22721.527
W.P. Kuala Lumpur,2018,19165.497
W.P. Kuala Lumpur,2019,22633.0
W.P. Kuala Lumpur,2020,12435.0
W.P. Kuala Lumpur,2021,9116.005
W.P. Kuala Lumpur,2022,16912.534
W.P. Kuala Lumpur,2023,22232.643
W.P. Kuala Lumpur,2024,26982.957
W.P. Kuala Lumpur,2025,35059.933
W.P. Labuan,2018,544.932
W.P. Labuan,2019,524.0
W.P. Labuan,2020,107.0
W.P. Labuan,2021,53.899
W.P. Labuan,2022,243.695
W.P. Labuan,2023,331.36
W.P. Labuan,2024,449.63
W.P. Labuan,2025,604.37
W.P. Putrajaya,2018,1891.907
W.P. Putrajaya,2019,1949.0
W.P. Putrajaya,2020,451.0
W.P. Putrajaya,2021,223.006
W.P. Putrajaya,2022,1305.808
W.P. Putrajaya,2023,1900.379
W.P. Putrajaya,2024,2556.836
W.P. Putrajaya,2025,3146.484
